Campaign report
"April 10, 2026 - April 10, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Impr.,Bid strategy type,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.,Original conv. value
Paused,DE | Weight Loss Injection | Competitors | Search,220.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight loss Pills | Orlistat/Xenical | Search | Prospecting | maxConv,200.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair Loss | Finasteride | Search | Prospecting | eCPC #2,60.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Birth control | Search | Prospecting | tCPA | less ad groups,1500.00, --,Daily,Paused,campaign paused; campaign ended; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Tadalafil Aristo | Search | Prospecting | tCPA | weekends,840.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | Weight Loss Injection | Ozempic | Search | Prospecting | tCPA | Ozempic LP new test,500.00, --,Daily,Ended,campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Tadalafil Aristo | Search | Prospecting | tCPA,840.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | ED | Sildenafil | Search | Prospecting | Max Clicks Landing page test,4920.00, --,Daily,Ended,unknown; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair Loss | Finasteride | Search | Prospecting | tCPA,504.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Wegovy | Search | Prospecting | tCPA | Legacy vs Framer,1600.00, --,Daily,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | General Weight Loss Injection | GLP1 | Search | Prospecting | tROAS,780.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro | Shopping,560.00, --,Daily,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,USD,0,0.00,0,Manual CPC,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | Max Clicks,60.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) Sildenafil - Test,24.00, --,Daily,Paused,campaign paused; All ad groups paused; All keywords paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair Loss | Finasteride | Search | Prospecting | tCPA | Finasteride LP test,504.00, --,Daily,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | ED | Sildenafil | Search | Prospecting | Max Clicks | Broad,4920.00, --,Daily,Ended,unknown; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Semaglutid | Search | Prospecting | tCPA,300.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | Hair Loss | All | PMX,440.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most asset groups limited by policy; bidding strategy learning,87.27,Performance Max,54,1.59%,USD,1.37,74.03,"3,402",Maximize Conversions (Target CPA),54,0.67%,14.81,0.20,0.36,1.37,204.25,14.81
Enabled,"DE | ED | Sildenafil, Tadalafil | Search | Prospecting |",1000.00,DE | DE Share budget & Bid Strategy created on 17/12/2025 10:02,Daily,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; some ads disapproved; most ads limited by policy; some sitelinks are disapproved; search volume limited; missing enough relevant keywords,72.51,Search,24,9.60%,USD,1.89,45.24,250,Maximize Conversions (Target CPA),24,0.24%,1.40,0.03,0.06,1.89,789.77,1.40
Enabled,DE | Birth control | All | PMX,391.68, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; bidding strategy constrained; most asset groups limited by policy; bidding strategy learning; Products are excluded,76.71,Performance Max,35,3.02%,USD,2.38,83.47,"1,158",Maximize Conversions (Target CPA),34,5.26%,0.00,0.00,1.84,2.45,45.34,0.00
Enabled,DE | Weight Loss Injection | Mounjaro  | Search | Prospecting,4000.00, --,Daily,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; most ads disapproved; some ads limited by policy; ad strength is poor,63.58,Search,237,9.05%,USD,10.81,2563.01,"2,618",Maximize Conversions (Target CPA),237,1.27%,723.67,0.28,3.00,10.81,854.34,723.67
Enabled,DE | Weight Loss Injection | All | PMX,6500.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; limited by budget; most asset groups limited by policy; bidding strategy learning,76.99,Performance Max,"10,377",9.40%,USD,0.77,7992.05,"110,434",Maximize Conversion Value (Target ROAS),"2,055",0.13%,"3,565.75",0.45,13.78,3.89,580.11,"3,565.75"
Paused,AT | ED | Potency medication | Search | Prospecting | maxConv,240.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | GLP1 | Search | Prospecting | maxConv,1000.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,AT | Birth control | Search | Prospecting | maxConv,300.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Mounjaro - 0825 | Search | Prospecting | maxConv,1200.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,Übergewicht (Frame Landingpage),120.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | tCPA 100,600.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Smoking cessation | Bupropion | Search | Prospecting | maxConv,120.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Competitors | All | PMX,50.00, --,Daily,Paused,campaign paused; most asset groups limited by policy, --,Performance Max,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) test,276.00, --,Daily,Paused,campaign paused; All ad groups paused; All keywords paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | Broad,120.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Shopping,560.00, --,Daily,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,USD,0,0.00,0,Manual CPC,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Mounjaro | Search | Prospecting | max clicks | Test Mounjaro Discount#2,1000.00, --,Daily,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel | - | Display | Competitors URLs,60.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Display,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | tCPA,4920.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Hair loss | Search | Prospecting | tCPA | broad only,600.00, --,Daily,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Competitors | Search | Prospecting | maxClick,150.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | Weight Loss Injection | Wegovy | Search | Prospecting | tCPA | AB test new structure,1600.00, --,Daily,Ended,campaign ended; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | ED | Tadalafil Aristo | Search | Prospecting | tCPA | AB Test - all languages,840.00, --,Daily,Ended,campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Semaglutid | Search | Prospecting | tCPA | Test LP,300.00, --,Daily,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Birth control | Search | Prospecting | weekend | maxClick,240.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | [Exact],120.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Potenzmittel / potency medication | Search | Prospecting | tCPA,240.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | ED | Sildenafil | Search | Prospecting | tCPA AB Test - maxCPC setting,4920.00, --,Daily,Ended,unknown; campaign ended; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | tCPA,1044.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel | - | Search | Prospecting | Max Clicks,120.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | WL | Saxenda | Search | Prospecting | CPC,240.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | ED | Cialis | Search | Prospecting | tCPA 100,600.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) Sildenafil - Test #2,24.00, --,Daily,Paused,campaign paused; All ad groups paused; All keywords paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | General Weight Loss Injection | GLP1 | Search | Prospecting | tROAS| AB TEST tCPA,780.00, --,Daily,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Potenzmittel | Search | Prospecting | Max Clicks,60.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversion Value (Target ROAS),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Hair loss | Shopping - Test Regaine,120.00, --,Daily,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,USD,0,0.00,0,Manual CPC,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | WL all | Shopping,660.00, --,Daily,Paused,unknown; campaign paused; Products are excluded, --,Shopping,0, --,USD,0,0.00,0,Target ROAS,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Wegovy | Search | Prospecting | tROAS,1600.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,DE | Brand | Kapsel | Search | tCPA,950.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; some sitelinks are disapproved; bidding strategy learning,72.10,Search,49,21.03%,USD,8.94,438.28,233,Maximize Conversions (Target CPA),49,9.91%,551.26,1.26,4.86,8.94,90.26,551.26
Enabled,DE | Weight Loss Injection | Wegovy | Search | Prospecting |,4000.00, --,Daily,Eligible (Limited),unknown; enhanced conversions has setup issues impacting performance; most ads disapproved; some ads limited by policy; ad strength is poor,62.83,Search,45,4.69%,USD,13.41,603.29,960,Maximize Conversions (Target CPA),45,6.67%,525.62,0.87,3.00,13.41,201.10,525.62
Enabled,DE | ED | Potency medication | Search | Prospecting |,1000.00,DE | DE Share budget & Bid Strategy created on 17/12/2025 10:02,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most ads limited by policy; search volume limited; missing enough relevant keywords,74.12,Search,43,6.47%,USD,2.26,97.23,665,Maximize Conversions (Target CPA),43,6.98%,142.09,1.46,3.00,2.26,32.41,142.09
Enabled,DE | ED | All | PMX,600.00, --,Daily,Eligible (Limited),enhanced conversions has setup issues impacting performance; most asset groups limited by policy; bidding strategy learning,82.24,Performance Max,21,5.19%,USD,2.70,56.80,405,Maximize Conversions (Target CPA),21,19.05%,94.03,1.66,4.00,2.70,14.20,94.03
Paused,"DE | Weight Loss Injection | Saxenda, Nevolat | Search | Prospecting |",100.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,AT | Online Prescription/Doctor | Search | Prospecting | maxConv,480.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | GLP1 | Search | Prospecting | max Conv,960.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight loss | Saxenda | Search | Prospecting | maxConv,500.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss Injection | Wegovy | Search | Prospecting | max Conv | Head terms,400.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,AT | Brand | Kapsel | Search | maxConv,360.00, --,Daily,Paused,campaign paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | GLP1 for Men | Search | Test | maxConv,150.00, --,Daily,Paused,campaign paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel Weight Loss | Search | Low Intent topics | maxClick,100.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,DE | Weight Loss | GLP1 | Product Specific | Search | Prospecting | New,2160.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; limited by budget; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel Online Pharmacy | AB Test | Bid Strat tCPA,1500.00, --,Daily,Paused,campaign paused; campaign ended; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Viagra | Search | Prospecting | eCPC,60.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | HL | Finasteride | Search | Prospecting | eCPC #2,60.00, --,Daily,Paused,unknown; campaign paused; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | tCPA AB Test CPA 50,4920.00, --,Daily,Paused,unknown; campaign paused; campaign ended; All ad groups paused; All ads paused; some ads disapproved; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Birth control | Search | Prospecting | maxConv,960.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Sildenafil | Search | Prospecting | Exact,120.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,CPC (enhanced),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight Loss Injection | Ozempic | Search | Prospecting | tCPA,500.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Target CPA,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,Online Apotheke,1.00, --,Daily,Paused,campaign paused, --,Smart,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Weight loss | Saxenda | Search | Prospecting | tCPA 100,350.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize Conversions (Target CPA),0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Enabled,(old) DE | Weight Loss Injection | GLP1 | Search | Prospecting | tCPA | new LP test,780.00, --,Daily,Ended,unknown; campaign ended; All ad groups paused; All ads paused; most ads disapproved; some ads limited by policy, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | Kapsel NYNM | Search | Prospecting | ManCPC,120.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Manual CPC,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Paused,(old) DE | ED | Tadalafil | Search | Prospecting | Max Clicks,120.00, --,Daily,Paused,campaign paused; All ad groups paused; All ads paused; most ads disapproved, --,Search,0, --,USD,0,0.00,0,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Campaigns, --, --, --, --, --,, --, --,"11,884",8.83%,USD,1.38,16354.69,"134,521", --,"3,561",0.49%,"7,236.15",0.44,58.79,4.59,278.18,"7,236.15"
Total: Account,,,,,,,,,"11,884",8.83%,USD,1.38,16354.69,"134,521",,"3,561",0.49%,"7,236.15",0.44,58.79,4.59,278.18,"7,236.15"
Total: Search,,,,,,,,Search,"1,397",7.31%,USD,5.83,8148.35,"19,122",,"1,397",2.78%,"3,561.56",0.44,38.81,5.83,209.95,"3,561.56"
Total: Shopping,,,,,,,,Shopping,0, --,USD,0,0.00,0,,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Performance Max,,,,,,,,Performance Max,"10,487",9.09%,USD,0.78,8206.35,"115,399",,"2,164",0.19%,"3,674.58",0.45,19.98,3.79,410.73,"3,674.58"
Total: Smart,,,,,,,,Smart,0, --,USD,0,0.00,0,,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
Total: Display,,,,,,,,Display,0, --,USD,0,0.00,0,,0,0.00%,0.00,0.00,0.00,0,0.00,0.00
